age,education,default,balance,housing,loan,day,month,duration,campaign,pdays,previous,poutcome,deposit,job_blue-collar,job_entrepreneur,job_housemaid,job_management,job_retired,job_self-employed,job_services,job_student,job_technician,job_unemployed,job_unknown,marital_married,marital_single,contact_telephone,contact_unknown,deposit_numeric,is_summer,contact_freq,no_previous_contact,days_since_last,housing_numeric,loan_numeric,has_loan,is_student_retired
59,2,no,2343,yes,no,5,5,1042,1,-1,0,unknown,yes,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,1,1,0.0,1,9999,1,0,1,0
56,2,no,45,no,no,5,5,1467,1,-1,0,unknown,yes,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,1,1,0.0,1,9999,0,0,0,0
41,2,no,1270,yes,no,5,5,1389,1,-1,0,unknown,yes,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,1,1,0.0,1,9999,1,0,1,0
55,2,no,2476,yes,no,5,5,579,1,-1,0,unknown,yes,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,1,1,0.0,1,9999,1,0,1,0
54,3,no,184,no,no,5,5,673,2,-1,0,unknown,yes,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,1,1,0.0,1,9999,0,0,0,0
42,3,no,0,yes,yes,5,5,562,2,-1,0,unknown,yes,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,1,1,0.0,1,9999,1,1,1,0
56,3,no,830,yes,yes,6,5,1201,1,-1,0,unknown,yes,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,1,1,0.0,1,9999,1,1,1,0
60,2,no,545,yes,no,6,5,1030,1,-1,0,unknown,yes,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,1,1,0.0,1,9999,1,0,1,1
37,2,no,1,yes,no,6,5,608,1,-1,0,unknown,yes,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,1,1,0.0,1,9999,1,0,1,0
28,2,no,5090,yes,no,6,5,1297,3,-1,0,unknown,yes,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,1,1,0.0,1,9999,1,0,1,0
38,2,no,100,yes,no,7,5,786,1,-1,0,unknown,yes,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,1,1,0.0,1,9999,1,0,1,0
30,2,no,309,yes,no,7,5,1574,2,-1,0,unknown,yes,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,1,1,0.0,1,9999,1,0,1,0
29,3,no,199,yes,yes,7,5,1689,4,-1,0,unknown,yes,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,1,1,0.0,1,9999,1,1,1,0
46,3,no,460,yes,no,7,5,1102,2,-1,0,unknown,yes,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,1,1,0.0,1,9999,1,0,1,0
31,3,no,703,yes,no,8,5,943,2,-1,0,unknown,yes,False,False,False,False,False,False,False,False,True,False,False,False,True,False,True,1,1,0.0,1,9999,1,0,1,0
35,3,no,3837,yes,no,8,5,1084,1,-1,0,unknown,yes,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,1,1,0.0,1,9999,1,0,1,0
32,1,no,611,yes,no,8,5,541,3,-1,0,unknown,yes,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,1,1,0.0,1,9999,1,0,1,0
49,2,no,-8,yes,no,8,5,1119,1,-1,0,unknown,yes,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,1,1,0.0,1,9999,1,0,1,0
41,2,no,55,yes,no,8,5,1120,2,-1,0,unknown,yes,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,1,1,0.0,1,9999,1,0,1,0
49,2,no,168,yes,yes,8,5,513,1,-1,0,unknown,yes,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,1,1,0.0,1,9999,1,1,1,0
28,2,no,785,yes,no,8,5,442,2,-1,0,unknown,yes,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,1,1,0.0,1,9999,1,0,1,0
43,3,no,2067,yes,no,8,5,756,1,-1,0,unknown,yes,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,1,1,0.0,1,9999,1,0,1,0
43,3,no,388,yes,no,8,5,2087,2,-1,0,unknown,yes,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,1,1,0.0,1,9999,1,0,1,0
43,1,no,-192,yes,no,8,5,1120,2,-1,0,unknown,yes,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,1,1,0.0,1,9999,1,0,1,0
37,2,no,381,yes,no,8,5,985,2,-1,0,unknown,yes,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,1,1,0.0,1,9999,1,0,1,0
35,2,no,40,yes,no,9,5,617,4,-1,0,unknown,yes,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,1,1,0.0,1,9999,1,0,1,0
31,3,no,22,yes,no,9,5,483,3,-1,0,unknown,yes,False,False,False,False,False,False,False,False,True,False,False,False,True,False,True,1,1,0.0,1,9999,1,0,1,0
43,2,no,3,yes,no,9,5,929,3,-1,0,unknown,yes,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,1,1,0.0,1,9999,1,0,1,0
31,2,no,307,yes,no,9,5,538,1,-1,0,unknown,yes,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,1,1,0.0,1,9999,1,0,1,0
28,2,no,759,yes,no,9,5,710,1,-1,0,unknown,yes,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,1,1,0.0,1,9999,1,0,1,0
32,2,yes,-1,yes,no,9,5,653,1,-1,0,unknown,yes,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,1,1,0.0,1,9999,1,0,1,0
60,1,no,65,yes,no,9,5,1028,2,-1,0,unknown,yes,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,1,1,0.0,1,9999,1,0,1,0
26,2,no,82,yes,no,9,5,654,1,-1,0,unknown,yes,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,1,1,0.0,1,9999,1,0,1,0
40,2,no,10,yes,no,9,5,1692,2,-1,0,unknown,yes,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,1,1,0.0,1,9999,1,0,1,0
33,1,no,390,yes,no,9,5,665,2,-1,0,unknown,yes,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,1,1,0.0,1,9999,1,0,1,0
32,3,no,311,no,no,12,5,757,2,-1,0,unknown,yes,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,1,1,0.0,1,9999,0,0,0,0
35,1,no,414,no,no,13,5,504,4,-1,0,unknown,yes,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,1,1,0.0,1,9999,0,0,0,0
33,2,no,5,yes,no,13,5,1346,1,-1,0,unknown,yes,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,1,1,0.0,1,9999,1,0,1,0
38,3,no,119,yes,no,13,5,568,4,-1,0,unknown,yes,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,1,1,0.0,1,9999,1,0,1,0
23,1,no,4,yes,no,13,5,395,2,-1,0,unknown,yes,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,1,1,0.0,1,9999,1,0,1,0
60,1,no,1262,yes,yes,13,5,1015,1,-1,0,unknown,yes,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,1,1,0.0,1,9999,1,1,1,0
48,3,no,1949,yes,no,13,5,683,2,-1,0,unknown,yes,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,1,1,0.0,1,9999,1,0,1,0
45,3,no,-395,yes,no,13,5,470,1,-1,0,unknown,yes,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,1,1,0.0,1,9999,1,0,1,0
36,2,no,1165,yes,no,13,5,1001,4,-1,0,unknown,yes,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,1,1,0.0,1,9999,1,0,1,0
52,0,no,2240,yes,no,13,5,845,1,-1,0,unknown,yes,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,1,1,0.0,1,9999,1,0,1,0
35,1,no,300,yes,no,13,5,945,2,-1,0,unknown,yes,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,1,1,0.0,1,9999,1,0,1,0
43,2,no,3285,yes,no,13,5,1721,2,-1,0,unknown,yes,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,1,1,0.0,1,9999,1,0,1,0
52,2,no,3923,yes,no,14,5,942,3,-1,0,unknown,yes,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,1,1,0.0,1,9999,1,0,1,0
53,1,no,1443,yes,no,14,5,476,1,-1,0,unknown,yes,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,1,1,0.0,1,9999,1,0,1,0
48,1,no,24,yes,no,14,5,832,1,-1,0,unknown,yes,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,1,1,0.0,1,9999,1,0,1,0
41,1,no,1618,yes,no,14,5,1553,1,-1,0,unknown,yes,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,1,1,0.0,1,9999,1,0,1,0
39,3,no,517,yes,yes,14,5,1328,1,-1,0,unknown,yes,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,1,1,0.0,1,9999,1,1,1,0
59,2,no,1521,yes,yes,14,5,1125,2,-1,0,unknown,yes,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,1,1,0.0,1,9999,1,1,1,1
41,2,no,2823,yes,no,14,5,858,1,-1,0,unknown,yes,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,1,1,0.0,1,9999,1,0,1,0
48,2,no,1405,yes,no,14,5,629,2,-1,0,unknown,yes,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,1,1,0.0,1,9999,1,0,1,0
40,2,no,1535,yes,no,14,5,704,1,-1,0,unknown,yes,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,1,1,0.0,1,9999,1,0,1,0
48,2,no,1596,yes,no,14,5,760,1,-1,0,unknown,yes,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,1,1,0.0,1,9999,1,0,1,0
60,1,no,1542,yes,no,14,5,930,1,-1,0,unknown,yes,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,1,1,0.0,1,9999,1,0,1,1
40,0,no,3652,yes,no,14,5,1028,2,-1,0,unknown,yes,False,False,False,False,False,False,False,False,True,False,False,False,True,False,True,1,1,0.0,1,9999,1,0,1,0
57,3,no,-1,no,no,14,5,850,2,-1,0,unknown,yes,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,1,1,0.0,1,9999,0,0,0,0
51,2,no,7180,yes,no,14,5,927,1,-1,0,unknown,yes,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,1,1,0.0,1,9999,1,0,1,0
41,2,no,5291,yes,no,14,5,1423,3,-1,0,unknown,yes,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,1,1,0.0,1,9999,1,0,1,0
41,2,no,1384,yes,no,15,5,1162,4,-1,0,unknown,yes,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,1,1,0.0,1,9999,1,0,1,0
52,1,no,-191,yes,no,15,5,755,1,-1,0,unknown,yes,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,1,1,0.0,1,9999,1,0,1,0
59,1,no,320,yes,no,15,5,695,1,-1,0,unknown,yes,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,1,1,0.0,1,9999,1,0,1,0
44,0,no,146,yes,no,15,5,483,1,-1,0,unknown,yes,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,1,1,0.0,1,9999,1,0,1,0
49,1,no,341,yes,yes,15,5,520,2,-1,0,unknown,yes,False,False,False,False,False,False,False,False,False,False,True,True,False,False,True,1,1,0.0,1,9999,1,1,1,0
40,1,no,-9,yes,no,15,5,920,2,-1,0,unknown,yes,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,1,1,0.0,1,9999,1,0,1,0
41,1,no,-306,yes,no,15,5,500,1,-1,0,unknown,yes,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,1,1,0.0,1,9999,1,0,1,0
44,3,no,4580,yes,no,15,5,911,2,-1,0,unknown,yes,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,1,1,0.0,1,9999,1,0,1,0
60,1,no,313,yes,no,15,5,920,2,-1,0,unknown,yes,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,1,1,0.0,1,9999,1,0,1,0
29,3,no,10576,no,no,15,5,1224,2,-1,0,unknown,yes,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,1,1,0.0,1,9999,0,0,0,0
41,1,no,-233,yes,no,15,5,1156,2,-1,0,unknown,yes,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,1,1,0.0,1,9999,1,0,1,1
41,1,no,2453,yes,no,15,5,1052,1,-1,0,unknown,yes,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,1,1,0.0,1,9999,1,0,1,0
42,2,no,1364,yes,no,15,5,1867,6,-1,0,unknown,yes,False,False,False,False,False,False,False,False,True,False,False,False,True,False,True,1,1,0.0,1,9999,1,0,1,0
36,0,no,281,yes,no,16,5,515,1,-1,0,unknown,yes,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,1,1,0.0,1,9999,1,0,1,0
39,3,no,94,yes,yes,16,5,813,1,-1,0,unknown,yes,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,1,1,0.0,1,9999,1,1,1,0
31,3,no,144,yes,no,16,5,676,1,-1,0,unknown,yes,False,False,False,False,False,True,False,False,False,False,False,False,True,False,True,1,1,0.0,1,9999,1,0,1,0
26,2,no,246,yes,no,16,5,1143,3,-1,0,unknown,yes,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,1,1,0.0,1,9999,1,0,1,0
31,2,no,92,yes,no,16,5,688,1,-1,0,unknown,yes,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,1,1,0.0,1,9999,1,0,1,0
29,2,no,163,yes,yes,16,5,803,1,-1,0,unknown,yes,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,1,1,0.0,1,9999,1,1,1,0
37,2,no,49,yes,no,16,5,619,2,-1,0,unknown,yes,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,1,1,0.0,1,9999,1,0,1,0
33,2,no,-416,yes,no,16,5,767,2,-1,0,unknown,yes,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,1,1,0.0,1,9999,1,0,1,0
24,2,no,409,yes,no,16,5,912,1,-1,0,unknown,yes,False,False,False,False,False,False,False,False,True,False,False,False,True,False,True,1,1,0.0,1,9999,1,0,1,0
50,2,no,363,yes,no,16,5,1340,1,-1,0,unknown,yes,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,1,1,0.0,1,9999,1,0,1,0
27,3,no,3706,yes,no,16,5,897,1,-1,0,unknown,yes,False,False,False,False,False,False,False,False,True,False,False,False,True,False,True,1,1,0.0,1,9999,1,0,1,0
54,3,no,4393,yes,no,16,5,1297,3,-1,0,unknown,yes,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,1,1,0.0,1,9999,1,0,1,0
30,2,no,863,yes,no,16,5,1193,5,-1,0,unknown,yes,False,False,False,False,False,False,False,False,True,False,False,False,True,False,True,1,1,0.0,1,9999,1,0,1,0
34,1,no,695,yes,yes,16,5,1064,4,-1,0,unknown,yes,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,1,1,0.0,1,9999,1,1,1,0
37,2,no,792,yes,no,16,5,1187,4,-1,0,unknown,yes,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,1,1,0.0,1,9999,1,0,1,0
41,2,no,1020,yes,no,19,5,882,1,-1,0,unknown,yes,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,1,1,0.0,1,9999,1,0,1,0
47,2,no,863,yes,no,19,5,943,2,-1,0,unknown,yes,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,1,1,0.0,1,9999,1,0,1,0
31,2,no,97,yes,no,19,5,607,1,-1,0,unknown,yes,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,1,1,0.0,1,9999,1,0,1,0
31,2,no,754,yes,no,19,5,1022,4,-1,0,unknown,yes,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,1,1,0.0,1,9999,1,0,1,0
43,2,no,1040,yes,no,19,5,552,3,-1,0,unknown,yes,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,1,1,0.0,1,9999,1,0,1,0
37,3,no,122,yes,no,19,5,1622,2,-1,0,unknown,yes,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,1,1,0.0,1,9999,1,0,1,0
30,3,no,880,yes,yes,19,5,967,6,-1,0,unknown,yes,False,False,False,False,False,False,False,False,True,False,False,False,True,False,True,1,1,0.0,1,9999,1,1,1,0
41,2,no,501,yes,no,19,5,579,5,-1,0,unknown,yes,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,1,1,0.0,1,9999,1,0,1,0
36,2,no,4438,yes,no,20,5,446,1,-1,0,unknown,yes,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,1,1,0.0,1,9999,1,0,1,0
35,2,no,0,yes,no,20,5,1205,1,-1,0,unknown,yes,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,1,1,0.0,1,9999,1,0,1,0
29,2,no,271,yes,no,20,5,1882,2,-1,0,unknown,yes,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,1,1,0.0,1,9999,1,0,1,0
